,Unnamed: 0,Long,Lat,Rain,Tmax,Tmin,Dia,uc
112464,19866,-101.403,21.8711,0.01,17.000070674981956,7.416229709053876,3,3.500035337490978
112465,19867,-101.276,21.8711,0.11199999999999999,17.05460177578382,7.082226716642443,3,3.5273008878919097
112466,19868,-101.148,21.8711,0.133,17.32044089219292,7.538924685858076,3,3.66022044609646
112467,19869,-101.021,21.8711,0.18100000000000002,17.947548551414386,7.893376841070209,3,3.9737742757071928
112468,19870,-100.893,21.8711,0.452,19.004088629450553,8.970366081907079,3,4.502044314725277
112469,19871,-100.766,21.8711,0.41600000000000004,18.840495327044955,8.909018593504976,3,4.420247663522478
112470,19872,-100.638,21.8711,0.4970000000000001,17.484034194598518,8.60909753909471,3,3.742017097299259
112471,19873,-100.511,21.8711,2.365,16.270717201756987,8.656812252296342,3,3.1353586008784937
112472,19874,-100.383,21.8711,5.763,16.01169447294812,9.024897182708942,3,3.005847236474059
112473,19875,-100.256,21.8711,6.7410000000000005,17.17729675258802,9.972375059141381,3,3.5886483762940102
112474,19876,-100.128,21.8711,14.062999999999999,19.41988827306479,10.27911250115188,3,4.8495003871083355
112475,19877,-100.001,21.8711,18.932000000000002,21.021739359119625,11.478796718792946,3,6.2502680389562855
112697,20099,-103.954,21.9894,0.0,17.60672917140272,6.557364871424474,3,3.8033645857013596
112698,20100,-103.826,21.9894,0.0,18.28155154382582,7.457128034655275,3,4.14077577191291
112699,20101,-103.699,21.9894,0.0,19.999281219084626,8.534117275492143,3,4.999640609542313
112700,20102,-103.571,21.9894,0.0,19.41988827306479,8.050153755875577,3,4.709944136532394
112701,20103,-103.444,21.9894,0.0,19.32445884666152,8.009255430274179,3,4.662229423330761
112702,20104,-103.316,21.9894,0.0,19.215396645057787,8.029704593074875,3,4.607698322528893
112703,20105,-103.189,21.9894,0.0,17.640811109403888,6.748223724231008,3,3.820405554701944
112704,20106,-103.061,21.9894,0.0,17.49766696979899,6.496017383022374,3,3.748833484899494
112705,20107,-102.934,21.9894,0.0,18.96319030384916,7.443495259454807,3,4.48159515192458
112706,20108,-102.806,21.9894,0.0,18.94955752864869,7.743416313865075,3,4.474778764324345
112707,20109,-102.679,21.9894,0.0,17.927099388613687,7.341249445451307,3,3.9635496943068436
112708,20110,-102.551,21.9894,0.0,17.436319481396886,8.718159740698443,3,3.718159740698443
112709,20111,-102.424,21.9894,0.0,18.07024352821859,8.254645383882576,3,4.035121764109295
112710,20112,-102.296,21.9894,0.0,18.970006691449388,9.243021585916411,3,4.485003345724694
112711,20113,-102.169,21.9894,0.0,18.847311714645187,8.554566438292843,3,4.4236558573225935
112712,20114,-102.041,21.9894,0.0,18.274735156225592,8.261461771482809,3,4.137367578112796
112713,20115,-101.914,21.9894,0.0,17.62036194660319,7.934275166671608,3,3.8101809733015948
112714,20116,-101.786,21.9894,0.0,17.163663977387554,8.111501244277676,3,3.581831988693777
112715,20117,-101.658,21.9894,0.02,17.17729675258802,8.097868469077211,3,3.5886483762940102
112716,20118,-101.531,21.9894,0.01,17.129582039386385,7.525291910657607,3,3.5647910196931925
112717,20119,-101.403,21.9894,0.0,17.19774591538872,7.463944422255508,3,3.5988729576943594
112718,20120,-101.276,21.9894,0.0,17.327257279793155,7.647986887461809,3,3.6636286398965776
112719,20121,-101.148,21.9894,0.001,16.884192085777983,7.416229709053876,3,3.4420960428889913
